;;;;;;;;;Total;Total;Total;Total;Total;Short;Short;Short;Medium;Medium;Medium;Long;Long;Long;;;;;;;;;;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;01-mars;PPA;CrsPA;PrgP;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Total Cmp;Total Att;Total Cmp%;Total TotDist;Total PrgDist;Short Cmp;Short Att;Short Cmp%;Medium Cmp;Medium Att;Medium Cmp%;Long Cmp;Long Att;Long Cmp%; Ast; xAG; xA; A-xAG; KP; 44986; PPA; CrsPA; PrgP; Matches;#NAME?
411;Davide Calabria;it ITA;DF;Milan;it Serie A;26-111;1996;11.3;53.0;66.4;79.9;934.9;341.4;22.7;24.2;93.4;23.8;27.5;86.5;5.40;11.8;45.9;0.18;0.06;0.09;0.12;0.80;3.27;1.06;0.71;4.96;Matches;2146785a
412;Mattia Caldara;it ITA;DF;Spezia;it Serie A;28-326;1994;12.9;32.9;42.9;76.9;594.5;228.0;13.3;16.0;83.0;15.7;19.1;81.8;3.33;6.51;51.2;0.00;0.00;0.01;0.00;0.08;1.63;0.08;0.00;2.33;Matches;ac7e640b
413;Luca Caldirola;it ITA;DF;Monza;it Serie A;32-054;1991;18.4;48.9;55.6;88.0;876.4;333.3;19.8;20.7;95.8;24.3;26.7;91.0;4.02;6.41;62.7;0.00;0.03;0.02;-0.03;0.22;2.34;0.22;0.05;2.72;Matches;226008f1
414;Fernando Calero;es ESP;DFMF;Espanyol;es La Liga;27-194;1995;13.6;32.5;40.7;79.9;642.7;243.1;11.8;13.3;88.4;15.8;18.3;86.3;4.63;8.09;57.3;0.00;0.01;0.02;-0.01;0.22;3.31;0.22;0.00;3.38;Matches;41b3069f
415;Duje ?aleta-Car;hr CRO;DF;Southampton;eng Premier League;26-191;1996;8.0;43.9;51.8;84.8;869.6;323.8;13.6;15.3;89.3;24.6;26.5;92.9;5.13;8.63;59.4;0.00;0.00;0.01;0.00;0.13;2.50;0.00;0.00;2.88;Matches;94f8d10c
416;Duje ?aleta-Car;hr CRO;DF;Marseille;fr Ligue 1;26-191;1996;0.1;20.0;20.0;100.0;460.0;160.0;0.00;0.00;;20.0;20.0;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;94f8d10c
417;Hakan Çalhano?lu;tr TUR;MF;Inter;it Serie A;29-047;1994;21.4;51.1;61.5;83.1;948.6;292.7;22.3;24.3;91.9;20.5;23.5;87.3;6.87;10.9;63.1;0.23;0.17;0.22;0.06;2.71;5.84;1.50;0.42;6.68;Matches;cd0fa27b
418;Kerim Calhanoglu;de GER;DF;Schalke 04;de Bundesliga;20-213;2002;0.7;42.9;60.0;71.4;820.0;554.3;20.0;22.9;87.5;14.3;21.4;66.7;8.57;11.4;75.0;0.00;0.29;0.29;-0.29;4.29;0.00;2.86;1.43;4.29;Matches;d1db4b83
419;Daniel Caligiuri;it ITA;DFMF;Augsburg;de Bundesliga;35-071;1988;2.9;31.4;47.6;65.9;551.0;285.5;13.8;16.9;81.6;11.7;18.3;64.2;4.14;9.31;44.4;0.00;0.14;0.10;-0.14;1.38;2.76;1.38;0.00;3.79;Matches;d1273f09
420;Alexander Callens;pe PER;DF;Girona;es La Liga;30-327;1992;0.6;68.3;80.0;85.4;1011.7;325.0;26.7;30.0;88.9;36.7;45.0;81.5;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;6.67;1.67;0.00;8.33;Matches;af34f10d
421;Dominic Calvert-Lewin;eng ENG;FW;Everton;eng Premier League;26-011;1997;8.1;10.6;17.2;61.9;124.6;21.6;6.54;9.75;67.1;2.35;4.07;57.6;0.37;0.62;60.0;0.00;0.04;0.02;-0.04;0.49;0.99;0.12;0.00;0.99;Matches;59e6e5bf
422;Mahdi Camara;fr FRA;MF;Brest;fr Ligue 1;24-270;1998;16.0;27.9;33.6;83.1;423.4;100.9;13.5;15.4;87.8;11.4;13.7;83.6;1.06;1.56;68.0;0.00;0.02;0.02;-0.02;0.31;2.50;0.25;0.00;3.56;Matches;8577e60a
423;Mohamed Camara;gn GUI;MF;Roma;it Serie A;26-027;1997;4.6;33.9;44.6;76.1;566.5;115.0;16.1;18.5;87.1;15.0;18.3;82.1;2.39;4.35;55.0;0.00;0.07;0.04;-0.07;0.43;3.91;0.43;0.22;4.35;Matches;13ea2544
424;Mohamed Camara;ml MLI;MF;Monaco;fr Ligue 1;23-080;2000;17.4;47.2;54.1;87.3;907.2;258.3;18.5;20.3;91.0;20.9;23.0;90.8;6.72;8.79;76.5;0.17;0.11;0.06;0.06;0.80;5.11;0.52;0.11;5.46;Matches;489e80e3
425;Ousmane Camara;gn GUI;FWMF;Auxerre;fr Ligue 1;21-144;2001;0.3;23.3;26.7;87.5;523.3;200.0;3.33;3.33;100.0;16.7;16.7;100.0;3.33;6.67;50.0;0.00;0.67;0.33;-0.67;3.33;3.33;3.33;3.33;6.67;Matches;5a6b06cd
426;Ousmane Camara;fr FRA;DF;Angers;fr Ligue 1;20-021;2003;4.6;63.0;69.1;91.2;1235.2;402.0;19.3;20.7;93.7;35.0;37.4;93.6;7.39;9.13;81.0;0.00;0.00;0.00;0.00;0.00;2.39;0.00;0.00;2.83;Matches;7d3dfdfd
427;Eduardo Camavinga;fr FRA;MFDF;Real Madrid;es La Liga;20-137;2002;15.0;56.8;62.3;91.1;899.0;235.7;28.5;30.7;93.0;22.5;23.7;94.7;4.07;4.93;82.4;0.07;0.08;0.10;-0.01;1.00;6.20;0.67;0.07;7.33;Matches;7b9c2d84
428;Nicolò Cambiaghi;it ITA;FWMF;Empoli;it Serie A;22-089;2000;6.4;24.8;32.8;75.7;351.9;84.7;15.2;17.2;88.2;6.56;8.91;73.7;1.56;2.03;76.9;0.16;0.06;0.09;0.09;0.94;1.88;0.94;0.16;3.91;Matches;91ff775f
429;Andrea Cambiaso;it ITA;DF;Bologna;it Serie A;23-035;2000;18.0;48.8;60.2;81.0;744.0;259.8;26.7;29.6;90.1;18.0;21.2;85.0;2.78;5.89;47.2;0.11;0.09;0.06;0.02;1.06;2.06;0.89;0.33;3.39;Matches;247ed022
430;Axel Camblan;fr FRA;FWMF;Brest;fr Ligue 1;19-209;2003;0.8;23.8;33.8;70.4;245.0;57.5;16.3;18.8;86.7;3.75;6.25;60.0;0.00;2.50;0.0;0.00;0.13;0.13;-0.13;2.50;0.00;0.00;0.00;5.00;Matches;9f4a940f
431;Sergio Camello;es ESP;FW;Rayo Vallecano;es La Liga;22-045;2001;20.3;14.4;18.3;78.7;204.6;24.0;8.08;9.46;85.4;4.83;6.16;78.4;0.64;0.94;68.4;0.20;0.10;0.07;0.09;1.03;0.54;0.39;0.00;1.43;Matches;873619c6
432;Chem Campbell;wls WAL;FWMF;Wolves;eng Premier League;20-087;2002;0.8;28.8;40.0;71.9;430.0;80.0;12.5;13.8;90.9;16.3;17.5;92.9;0.00;6.25;0.0;0.00;0.00;0.00;0.00;0.00;2.50;0.00;0.00;5.00;Matches;6f711f67
433;Emre Can;de GER;MF;Dortmund;de Bundesliga;29-074;1994;12.1;51.7;58.8;87.9;911.2;269.9;20.2;22.1;91.4;23.8;25.8;92.3;5.45;7.60;71.7;0.08;0.03;0.04;0.05;0.66;4.55;0.17;0.00;4.05;Matches;a65ce836
434;Sergio Canales;es ESP;FWMF;Betis;es La Liga;32-039;1991;18.2;41.5;55.5;74.7;636.6;174.6;22.4;25.5;87.7;12.7;16.3;77.8;3.68;7.69;47.9;0.11;0.22;0.17;-0.11;1.98;4.07;1.87;0.38;5.55;Matches;a6de370d
435;Matteo Cancellieri;it ITA;FW;Lazio;it Serie A;21-043;2002;2.7;22.2;31.5;70.6;277.8;36.3;15.9;18.1;87.8;5.56;9.26;60.0;0.00;1.85;0.0;0.00;0.15;0.11;-0.15;1.11;0.37;0.37;0.37;0.74;Matches;b6a1cdf9
436;João Cancelo;pt POR;DF;Manchester City;eng Premier League;28-304;1994;14.2;73.0;85.9;84.9;1174.2;292.0;40.7;43.7;93.1;25.6;30.3;84.4;5.70;8.66;65.9;0.07;0.06;0.11;0.01;0.85;5.63;2.54;0.63;7.46;Matches;bd6351cd
437;João Cancelo;pt POR;DFFW;Bayern Munich;de Bundesliga;28-304;1994;4.0;54.5;67.3;81.0;814.5;225.3;34.0;36.8;92.5;17.8;21.8;81.6;2.25;5.50;40.9;0.50;0.17;0.33;0.33;1.25;2.25;1.75;0.75;4.25;Matches;bd6351cd
438;Antonio Candreva;it ITA;DFMF;Salernitana;it Serie A;36-027;1987;23.1;39.3;53.9;72.9;690.3;247.4;19.5;21.0;92.8;14.3;19.2;74.5;4.42;9.96;44.3;0.13;0.13;0.16;0.00;1.65;3.72;1.56;0.87;4.85;Matches;356c9002
439;Thomas Cannon;ie IRL;FW;Everton;eng Premier League;20-089;2002;0.3;13.3;16.7;80.0;123.3;0.00;10.0;13.3;75.0;3.33;3.33;100.0;0.00;0.00;;0.00;1.67;0.00;-1.67;3.33;0.00;0.00;0.00;0.00;Matches;4506aec5
440;Sergi Canós;es ESP;FWDF;Brentford;eng Premier League;26-053;1997;0.9;25.6;47.8;53.5;297.8;84.4;15.6;20.0;77.8;4.44;16.7;26.7;1.11;2.22;50.0;0.00;0.00;0.00;0.00;1.11;2.22;1.11;0.00;2.22;Matches;1137759d
441;Ander Capa;es ESP;DFMF;Athletic Club;es La Liga;31-047;1992;0.3;76.7;96.7;79.3;1123.3;390.0;46.7;46.7;100.0;20.0;26.7;75.0;6.67;13.3;50.0;0.00;0.00;0.33;0.00;3.33;10.0;3.33;3.33;13.3;Matches;37f1cf47
442;Pierrick Capelle;fr FRA;MFDF;Angers;fr Ligue 1;35-346;1987;12.6;38.8;47.1;82.5;669.8;186.0;18.3;20.5;89.1;15.9;18.8;84.4;3.49;5.87;59.5;0.16;0.08;0.09;0.08;0.87;3.65;0.56;0.40;4.44;Matches;79b2399c
443;Étienne Capoue;fr FRA;MF;Villarreal;es La Liga;34-259;1988;16.3;41.0;47.1;87.2;647.9;151.7;20.6;22.8;90.6;17.1;18.7;91.5;1.96;3.31;59.3;0.00;0.04;0.04;-0.04;0.31;5.21;0.31;0.00;4.29;Matches;5acc4a10
444;Gianluca Caprari;it ITA;MFFW;Monza;it Serie A;29-240;1993;20.1;31.5;39.7;79.5;471.2;88.4;18.9;21.4;88.1;9.10;11.7;77.9;2.44;3.53;69.0;0.10;0.08;0.10;0.01;1.09;1.94;0.80;0.20;2.89;Matches;54e53b7e
445;Francesco Caputo;it ITA;FW;Sampdoria;it Serie A;35-233;1987;12.2;13.8;19.4;70.9;174.6;25.8;7.87;10.7;73.8;3.52;4.92;71.7;0.66;0.82;80.0;0.00;0.04;0.05;-0.04;0.74;0.90;0.33;0.00;0.90;Matches;5bd72174
446;Francesco Caputo;it ITA;FW;Empoli;it Serie A;35-233;1987;10.7;13.5;18.1;74.2;155.0;30.5;9.44;11.9;79.5;2.90;3.55;81.6;0.00;0.19;0.0;0.37;0.12;0.09;0.25;1.31;0.47;0.19;0.00;1.12;Matches;5bd72174
447;Maxence Caqueret;fr FRA;MF;Lyon;fr Ligue 1;23-040;2000;21.9;46.7;56.2;83.1;759.5;224.2;23.1;26.3;87.8;18.7;21.0;89.1;3.42;5.80;59.1;0.23;0.16;0.18;0.06;1.64;6.76;1.05;0.23;6.12;Matches;f81ef10d
448;Andrea Carboni;it ITA;DF;Monza;it Serie A;22-051;2001;1.9;36.3;45.8;79.3;615.8;293.7;17.4;20.0;86.8;15.3;16.3;93.5;3.68;7.37;50.0;0.00;0.05;0.16;-0.05;0.53;1.58;1.05;1.05;4.74;Matches;f7e2af2c
449;Franco Carboni;it ITA;DF;Monza;it Serie A;19-357;2003;0.6;46.7;70.0;66.7;765.0;220.0;25.0;26.7;93.8;18.3;21.7;84.6;3.33;8.33;40.0;0.00;0.00;0.00;0.00;1.67;5.00;3.33;1.67;3.33;Matches;b033f803
450;Valentin Carboni;it ITA;MFDF;Inter;it Serie A;18-022;2005;0.3;40.0;56.7;70.6;640.0;40.0;16.7;23.3;71.4;13.3;20.0;66.7;6.67;6.67;100.0;0.00;0.00;0.00;0.00;3.33;0.00;0.00;0.00;3.33;Matches;707b98f1
451;Isaac Carcelen;es ESP;DF;Cádiz;es La Liga;29-338;1993;15.7;30.1;38.3;78.6;485.9;186.8;15.0;16.4;91.4;12.5;16.2;77.6;1.72;3.69;46.6;0.06;0.04;0.04;0.03;0.32;2.17;0.51;0.32;3.18;Matches;c4b888df
452;Irvin Cardona;fr FRA;FWMF;Brest;fr Ligue 1;25-231;1997;2.6;13.1;22.3;58.6;180.0;30.4;8.08;12.3;65.6;3.85;6.54;58.8;0.38;1.54;25.0;0.00;0.12;0.00;-0.12;1.15;0.77;0.00;0.00;1.54;Matches;5e080f73
453;Irvin Cardona;fr FRA;MF;Augsburg;de Bundesliga;25-231;1997;1.3;10.0;20.8;48.1;150.8;43.8;5.38;8.46;63.6;3.85;6.15;62.5;0.77;3.85;20.0;0.00;0.00;0.00;0.00;0.77;1.54;0.00;0.00;0.77;Matches;5e080f73
454;Igor Carioca;br BRA;DF;Lorient;fr Ligue 1;26-218;1996;3.3;45.5;54.5;83.3;702.1;242.7;23.0;25.2;91.6;19.7;22.7;86.7;1.82;3.94;46.2;0.00;0.12;0.03;-0.12;0.30;3.64;0.61;0.00;5.15;Matches;e3e32fbb
455;Carlos;br BRA;DF;Monza;it Serie A;24-079;1999;23.3;42.2;51.2;82.4;665.2;202.2;22.0;24.2;91.1;16.7;19.7;84.3;2.27;3.95;57.6;0.17;0.12;0.11;0.06;0.64;2.23;0.77;0.13;2.88;Matches;8d3cd59d
456;Diego Carlos;br BRA;DF;Aston Villa;eng Premier League;30-012;1993;2.0;50.5;64.0;78.9;1043.5;401.0;15.0;18.0;83.3;28.5;33.0;86.4;7.00;12.0;58.3;0.00;0.00;0.00;0.00;0.00;4.00;0.00;0.00;5.00;Matches;b4a014b1
457;Juan Carlos;es ESP;GK;Girona;es La Liga;35-066;1988;10.0;28.8;34.0;84.7;716.0;463.5;5.20;5.30;98.1;17.0;17.6;96.6;6.60;11.1;59.5;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;Matches;688b96e3
458;José Carlos Lazo;es ESP;MFFW;Almería;es La Liga;27-039;1996;0.2;15.0;20.0;75.0;245.0;10.0;10.0;15.0;66.7;5.00;5.00;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;5b93209a
459;José Carlos Lazo;es ESP;MFFW;Espanyol;es La Liga;27-039;1996;1.8;13.9;19.4;71.4;186.1;30.6;6.11;7.78;78.6;5.56;6.11;90.9;1.11;2.78;40.0;0.56;0.11;0.06;0.44;1.11;0.00;1.67;0.56;2.22;Matches;5b93209a
460;Carmona;es ESP;MFDF;Elche;es La Liga;21-057;2002;6.0;20.2;29.3;68.8;298.8;113.0;12.5;15.3;81.5;6.00;8.83;67.9;1.17;2.50;46.7;0.00;0.02;0.03;-0.02;0.67;0.83;0.33;0.00;1.67;Matches;2dce876a
461;Carmona;es ESP;DF;Sevilla;es La Liga;21-057;2002;5.9;45.6;55.9;81.5;747.8;233.9;22.2;24.1;92.3;20.0;24.9;80.3;2.88;5.42;53.1;0.17;0.07;0.03;0.10;0.34;4.07;0.51;0.34;1.86;Matches;2dce876a
462;Marco Carnesecchi;it ITA;GK;Cremonese;it Serie A;22-269;2000;18.0;20.8;34.2;60.8;658.6;512.6;3.56;3.56;100.0;8.56;8.78;97.5;8.33;21.4;39.0;0.06;0.01;0.01;0.05;0.06;1.17;0.06;0.00;0.00;Matches;8ec56e62
463;Yannick Carrasco;be BEL;DFMF;Atlético Madrid;es La Liga;29-204;1993;15.6;32.7;41.3;79.1;453.4;124.9;20.8;22.6;92.1;8.46;10.9;77.6;1.54;3.53;43.6;0.00;0.13;0.13;-0.13;1.60;1.54;1.15;0.26;3.27;Matches;de39485a
464;Dani Carvajal;es ESP;DF;Real Madrid;es La Liga;31-075;1992;16.1;55.8;65.9;84.7;898.0;208.3;30.1;32.9;91.3;20.4;23.9;85.4;4.10;5.90;69.5;0.12;0.12;0.11;0.01;1.12;3.11;1.18;0.43;2.92;Matches;4958bfb2
465;Fabio Carvalho;pt POR;MFFW;Liverpool;eng Premier League;20-209;2002;3.8;30.0;36.6;82.0;401.6;71.1;18.4;21.3;86.4;7.89;9.74;81.1;1.32;1.58;83.3;0.00;0.03;0.05;-0.03;0.26;1.84;0.53;0.00;2.89;Matches;966e28d0
466;Matis Carvalho;pt POR;GK;Montpellier;fr Ligue 1;23-333;1999;1.5;14.0;35.3;39.6;616.0;529.3;0.67;0.67;100.0;3.33;3.33;100.0;10.0;30.7;32.6;0.00;0.00;0.00;0.00;0.00;0.67;0.00;0.00;0.00;Matches;8608f269
467;William Carvalho;pt POR;MF;Betis;es La Liga;30-354;1992;18.1;57.6;66.7;86.4;948.1;285.3;29.3;32.2;91.2;21.3;24.1;88.3;5.14;7.02;73.2;0.06;0.05;0.07;0.01;0.77;6.63;0.66;0.06;7.79;Matches;dee86451
468;Nicolò Casale;it ITA;DF;Lazio;it Serie A;25-041;1998;18.6;54.4;59.1;92.0;952.7;343.7;21.9;23.5;93.4;25.4;27.0;94.2;5.00;5.91;84.5;0.05;0.02;0.03;0.04;0.22;1.99;0.05;0.00;2.90;Matches;3f5f38fb
469;Casemiro;br BRA;MF;Manchester Utd;eng Premier League;31-032;1992;14.9;47.3;61.5;77.0;847.0;285.0;21.4;25.8;83.1;19.4;23.6;82.1;5.57;9.26;60.1;0.20;0.13;0.17;0.07;1.14;5.44;1.07;0.20;5.97;Matches;4d224fe8
470;Casemiro;br BRA;MF;Real Madrid;es La Liga;31-032;1992;0.1;70.0;80.0;87.5;1340.0;500.0;60.0;60.0;100.0;0.00;0.00;;10.0;20.0;50.0;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;0.00;Matches;4d224fe8
471;Matty Cash;pl POL;DF;Aston Villa;eng Premier League;25-232;1997;18.2;40.3;51.6;78.1;705.3;236.7;18.0;20.0;89.8;18.6;22.6;82.5;3.13;6.87;45.6;0.05;0.04;0.05;0.02;0.44;3.02;0.82;0.49;4.07;Matches;2389cdc2
472;Tommaso Cassandro;it ITA;DF;Lecce;it Serie A;23-077;2000;0.1;60.0;60.0;100.0;1250.0;1040.0;30.0;30.0;100.0;20.0;20.0;100.0;10.0;10.0;100.0;0.00;0.00;0.00;0.00;0.00;10.0;10.0;0.00;0.00;Matches;6c4307ee
473;Timothy Castagne;be BEL;DF;Leicester City;eng Premier League;27-112;1995;25.2;44.0;54.8;80.2;633.6;245.4;27.0;30.4;88.9;13.6;17.0;80.0;2.02;3.81;53.1;0.08;0.08;0.07;0.00;0.60;2.90;0.60;0.32;3.13;Matches;197640fd
474;Michele Castagnetti;it ITA;MF;Cremonese;it Serie A;33-090;1989;8.4;38.8;52.5;73.9;682.6;273.8;16.8;20.2;82.9;17.5;23.1;75.8;3.69;7.26;50.8;0.12;0.17;0.14;-0.05;2.26;5.95;1.43;0.24;7.86;Matches;ad92526f
475;Koen Casteels;be BEL;GK;Wolfsburg;de Bundesliga;30-275;1992;25.0;35.6;45.9;77.4;1076.8;741.1;4.92;4.96;99.2;15.3;15.5;99.0;15.2;25.4;60.1;0.04;0.00;0.00;0.04;0.00;1.20;0.00;0.00;0.04;Matches;db401046
476;Valentín Castellanos;ar ARG;FW;Girona;es La Liga;24-175;1998;21.2;8.96;14.6;61.3;122.6;27.3;5.14;7.36;69.9;2.69;4.53;59.4;0.52;0.75;68.8;0.00;0.04;0.07;-0.04;0.47;0.75;0.57;0.05;1.23;Matches;da76bab4
477;Jean-Charles Castelletto;cm CMR;DF;Nantes;fr Ligue 1;28-060;1995;19.5;39.6;47.8;82.9;740.5;267.2;14.5;16.8;86.2;19.8;22.3;88.7;4.21;6.87;61.2;0.00;0.00;0.03;0.00;0.05;3.13;0.21;0.10;3.49;Matches;e0f3a1f6
478;Samu Castillejo;es ESP;FW;Valencia;es La Liga;28-068;1995;12.5;28.9;37.5;77.0;462.6;127.3;15.5;17.6;88.2;9.60;11.8;81.6;2.48;5.04;49.2;0.00;0.11;0.11;-0.11;1.60;3.12;1.36;0.32;4.40;Matches;130a7a3f
479;Jonny Castro;es ESP;DF;Wolves;eng Premier League;29-024;1994;14.0;50.1;59.4;84.3;792.9;259.9;27.3;29.9;91.2;18.9;21.8;86.6;3.14;4.43;71.0;0.00;0.07;0.06;-0.07;0.36;4.29;0.71;0.14;5.00;Matches;e28868f3
480;Gaetano Castrovilli;it ITA;MF;Fiorentina;it Serie A;26-038;1997;1.4;30.7;37.9;81.1;431.4;72.9;19.3;22.9;84.4;9.29;11.4;81.3;2.14;3.57;60.0;0.00;0.00;0.00;0.00;0.71;0.71;0.71;0.00;1.43;Matches;0728bebe
481;Danilo Cataldi;it ITA;MF;Lazio;it Serie A;28-233;1994;18.2;54.7;63.5;86.1;844.4;298.4;30.8;33.4;92.1;17.3;19.8;87.5;4.56;7.14;63.8;0.05;0.05;0.07;0.01;0.77;4.73;0.38;0.00;4.18;Matches;ba3d3bea
482;Catena;es ESP;DF;Rayo Vallecano;es La Liga;28-150;1994;24.0;45.8;55.5;82.6;1102.2;436.3;9.17;10.5;87.6;25.7;28.0;91.7;10.8;16.0;67.9;0.04;0.05;0.02;-0.01;0.21;3.63;0.08;0.00;3.33;Matches;274ab13c
483;Yoann Cathline;fr FRA;FWMF;Lorient;fr Ligue 1;20-248;2002;8.3;17.8;27.3;65.2;269.3;93.1;10.4;13.0;79.6;5.42;9.52;57.0;1.33;2.65;50.0;0.12;0.08;0.08;0.04;0.72;1.20;1.33;0.48;2.65;Matches;4db5915d
484;Maximiliano Caufriez;be BEL;DF;Clermont Foot;fr Ligue 1;26-039;1997;15.4;41.3;46.4;89.1;753.9;269.2;16.1;17.3;93.2;19.1;20.6;92.5;4.68;6.49;72.0;0.00;0.00;0.01;0.00;0.00;2.92;0.19;0.00;4.09;Matches;c92c24f0
485;Edinson Cavani;uy URU;FW;Valencia;es La Liga;36-041;1987;10.7;17.8;24.1;73.6;282.1;36.8;10.6;13.5;78.5;4.95;6.54;75.7;1.87;2.24;83.3;0.09;0.12;0.07;-0.03;0.93;0.84;0.19;0.00;1.12;Matches;527f063d
486;Dani Ceballos;es ESP;MF;Real Madrid;es La Liga;26-232;1996;9.1;84.3;92.7;90.9;1361.1;408.4;42.4;45.2;93.9;30.5;32.3;94.6;7.47;9.01;82.9;0.11;0.10;0.12;0.01;2.09;14.0;0.88;0.11;13.3;Matches;c0617e2b
487;Pietro Ceccaroni;it ITA;DF;Lecce;it Serie A;27-096;1995;0.3;6.67;16.7;40.0;190.0;96.7;0.00;0.00;;3.33;6.67;50.0;3.33;10.0;33.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches;4d1efb48
488;Federico Ceccherini;it ITA;DF;Hellas Verona;it Serie A;30-320;1992;11.5;31.2;41.3;75.6;559.3;226.3;13.2;15.0;88.4;14.3;17.3;82.4;3.22;6.61;48.7;0.00;0.01;0.02;-0.01;0.35;3.30;0.35;0.00;3.74;Matches;d9624b51
489;Assan Ceesay;gm GAM;FW;Lecce;it Serie A;29-010;1994;13.1;12.2;20.2;60.4;172.2;22.3;6.49;9.69;66.9;3.89;5.95;65.4;0.84;1.53;55.0;0.00;0.01;0.05;-0.01;0.23;0.53;0.15;0.00;1.07;Matches;07f8bcc8
490;Emil Ceide;no NOR;FW;Sassuolo;it Serie A;21-205;2001;3.7;20.3;29.5;68.8;285.1;94.9;12.4;15.4;80.7;5.95;8.65;68.8;0.81;1.35;60.0;0.00;0.19;0.14;-0.19;1.62;1.08;2.16;0.27;3.51;Matches;98a84572
491;Zeki Çelik;tr TUR;DF;Roma;it Serie A;26-038;1997;11.3;41.3;54.5;75.8;648.1;279.6;21.9;24.7;88.5;14.9;18.8;78.9;3.10;6.55;47.3;0.00;0.12;0.08;-0.12;1.15;2.83;1.33;0.27;3.89;Matches;31a62dc7
492;Álex Centelles;es ESP;DF;Almería;es La Liga;25-139;1997;2.5;36.0;51.6;69.8;587.2;231.6;19.6;22.0;89.1;11.6;15.6;74.4;3.60;10.0;36.0;0.00;0.04;0.04;-0.04;1.20;4.40;0.40;0.40;4.40;Matches;ae852b7d
493;Fabien Centonze;fr FRA;DF;Nantes;fr Ligue 1;27-070;1996;12.6;38.1;50.7;75.1;608.9;259.5;18.9;22.8;82.9;15.2;19.8;76.7;2.54;4.84;52.5;0.00;0.04;0.04;-0.04;0.56;3.25;0.79;0.63;5.16;Matches;3c6bbbab
494;Franco Cervi;ar ARG;MF;Celta Vigo;es La Liga;28-305;1994;15.8;25.8;36.6;70.5;378.2;116.3;15.3;18.1;84.3;8.16;11.1;73.7;1.52;4.18;36.4;0.19;0.13;0.12;0.06;1.08;1.96;0.82;0.25;2.72;Matches;5e1028e5
495;Julio César Enciso;py PAR;FWMF;Brighton;eng Premier League;19-063;2004;1.7;15.9;21.8;73.0;178.2;55.3;10.6;12.9;81.8;4.12;5.88;70.0;0.00;0.59;0.0;0.00;0.06;0.06;-0.06;1.18;1.76;0.59;0.00;3.53;Matches;9cfbad36
496;Leonardo César Jardim;br BRA;GK;Lille;fr Ligue 1;28-007;1995;6.0;;;;;;;;;;;;;;;0.00;;;;;;;;;Matches;f5dfc256
497;Julian Chabot;de GER;DF;Köln;de Bundesliga;25-043;1998;11.0;51.0;59.9;85.1;1017.0;334.5;16.0;17.3;92.6;30.0;32.9;91.2;5.00;9.09;55.0;0.09;0.05;0.01;0.04;0.18;2.64;0.00;0.00;2.45;Matches;ae7058f9
498;Florian Chabrolle;fr FRA;MF;Ajaccio;fr Ligue 1;24-354;1998;3.6;32.2;36.9;87.2;492.2;93.6;15.8;17.2;91.9;13.3;15.3;87.3;1.11;2.50;44.4;0.00;0.00;0.03;0.00;0.00;1.94;0.56;0.00;3.89;Matches;5d9577aa
499;El Chadaille Bitshiabu;fr FRA;DF;Paris S-G;fr Ligue 1;17-315;2005;3.5;73.7;79.7;92.5;1287.4;440.0;31.4;33.4;94.0;35.7;38.3;93.3;5.14;6.00;85.7;0.00;0.00;0.00;0.00;0.00;4.00;0.00;0.00;4.00;Matches;2180c761
500;Fares Chaïbi;dz ALG;FWMF;Toulouse;fr Ligue 1;20-119;2002;19.1;26.5;36.5;72.6;414.4;115.7;13.7;17.0;80.9;9.21;11.8;77.9;2.15;4.29;50.0;0.21;0.19;0.15;0.02;1.10;2.62;0.68;0.10;3.51;Matches;357103bd
501;Nathaniel Chalobah;eng ENG;MF;Fulham;eng Premier League;28-105;1994;0.1;40.0;50.0;80.0;670.0;90.0;20.0;20.0;100.0;20.0;20.0;100.0;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;0.00;Matches;422862ea
502;Trevoh Chalobah;eng ENG;DF;Chelsea;eng Premier League;23-265;1999;11.2;54.2;61.3;88.5;996.8;288.6;19.7;22.1;89.1;29.7;32.0;93.0;4.20;5.80;72.3;0.00;0.01;0.01;-0.01;0.09;2.41;0.09;0.00;2.86;Matches;5515376c
503;Calum Chambers;eng ENG;DFMF;Aston Villa;eng Premier League;28-066;1995;2.6;46.5;58.1;80.1;898.1;380.8;18.8;21.2;89.1;22.7;25.8;88.1;5.00;9.23;54.2;0.00;0.00;0.00;0.00;0.00;1.92;0.38;0.00;4.23;Matches;dc6f5bdd
