;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Goals GA;Goals PKA;Goals FK;Goals CK;Goals OG;Expected PSxG;Expected PSxG/SoT;Expected PSxG+/-;Expected /90;Launched Cmp;Launched Att;Launched Cmp%;Passes Att;Passes Thr;Passes Launch%;Passes AvgLen;Goal Kicks Att;Goal Kicks Launch%;Goal Kicks AvgLen;Crosses Opp;Crosses Stp;Crosses Stp%;Sweeper #OPA;Sweeper #OPA/90;Sweeper AvgDist; Matches;#NAME?
1;Álvaro Aceves;es ESP;GK;Valladolid;es La Liga;19-229;2003;0.1;0.00;0.00;0.00;0.00;0.00;1.00;0.04;1.00;+0.91;10.0;20.0;50.0;70.0;30.0;28.6;26.0;10.0;0.0;24.0;10.0;0.00;0.0;20.0;13.85;33.0;Matches;be6faae0
2;Julen Agirrezabala;es ESP;GK;Athletic Club;es La Liga;22-076;2000;2.5;0.40;0.00;0.00;0.00;0.00;1.16;0.36;0.76;+0.74;6.80;15.6;43.6;27.2;2.80;30.9;31.6;8.80;81.8;60.1;15.2;0.80;5.3;0.80;0.80;18.0;Matches;a2c1a8d3
3;Do?an Alemdar;tr TUR;GK;Rennes;fr Ligue 1;20-134;2002;2.5;1.60;0.00;0.00;0.00;0.00;1.56;0.36;-0.04;-0.06;5.60;13.6;41.2;20.8;1.60;46.2;35.5;7.60;52.6;42.0;16.0;0.80;5.0;1.20;1.20;13.1;Matches;9e17ccff
4;Alisson;br BRA;GK;Liverpool;eng Premier League;30-161;1992;26.0;1.12;0.08;0.00;0.00;0.08;1.41;0.33;0.41;+0.42;2.96;6.96;42.5;32.0;6.00;17.9;26.5;5.19;23.7;29.9;10.6;0.54;5.1;1.81;1.88;19.4;Matches;7a2e46a8
5;Alphonse Areola;fr FRA;GK;West Ham;eng Premier League;30-013;1993;2.4;2.50;0.83;0.00;0.42;0.00;2.42;0.32;-0.08;-0.09;5.83;14.2;41.2;20.4;2.92;42.9;33.9;10.4;52.0;36.9;14.2;0.42;2.9;0.42;0.41;11.5;Matches;2f965a72
6;Kepa Arrizabalaga;es ESP;GK;Chelsea;eng Premier League;28-160;1994;17.5;0.80;0.00;0.06;0.11;0.11;0.96;0.27;0.33;+0.35;2.40;6.57;36.5;27.8;4.69;15.0;25.1;6.57;36.5;32.0;12.7;0.51;4.0;1.83;1.94;17.5;Matches;28d596a0
7;Sergio Asenjo;es ESP;GK;Valladolid;es La Liga;33-257;1989;8.0;1.50;0.00;0.00;0.00;0.00;1.10;0.50;-0.28;-0.31;4.63;13.8;33.6;20.6;3.00;37.0;35.6;8.88;69.0;52.2;13.0;0.38;2.9;1.88;2.14;17.8;Matches;9f0ea33f
8;Emil Audero;it ITA;GK;Sampdoria;it Serie A;26-053;1997;25.0;1.56;0.20;0.00;0.16;0.08;1.29;0.21;-0.19;-0.19;6.32;17.6;35.9;28.6;4.16;45.7;39.1;8.00;57.0;44.3;14.3;0.96;6.7;0.92;0.92;13.9;Matches;649b01d8
