;;;;;;;;;Goals;Goals;Goals;Goals;Goals;Expected;Expected;Expected;Expected;Launched;Launched;Launched;Passes;Passes;Passes;Passes;Goal Kicks;Goal Kicks;Goal Kicks;Crosses;Crosses;Crosses;Sweeper;Sweeper;Sweeper;;#NAME?
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;GA;PKA;FK;CK;OG;PSxG;PSxG/SoT;PSxG+/-;/90;Cmp;Att;Cmp%;Att;Thr;Launch%;AvgLen;Att;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;#OPA/90;AvgDist;Matches;-9999
 Rk; Player; Nation; Pos; Squad; Comp; Age; Born; 90s;Goals GA;Goals PKA;Goals FK;Goals CK;Goals OG;Expected PSxG;Expected PSxG/SoT;Expected PSxG+/-;Expected /90;Launched Cmp;Launched Att;Launched Cmp%;Passes Att;Passes Thr;Passes Launch%;Passes AvgLen;Goal Kicks Att;Goal Kicks Launch%;Goal Kicks AvgLen;Crosses Opp;Crosses Stp;Crosses Stp%;Sweeper #OPA;Sweeper #OPA/90;Sweeper AvgDist; Matches;#NAME?
1;Antonio Adán;es ESP;GK;Atlético Madrid;es La Liga;31;1987;1.0;2.00;0.00;0.00;1.00;0.00;3.00;0.43;1.00;+1.03;5.00;16.0;31.3;13.0;2.00;53.8;33.3;11.0;81.8;52.5;18.0;0.00;0.0;0.00;0.00;;Matches;65d62814
2;Rúnar Alex Rúnarsson;is ISL;GK;Dijon;fr Ligue 1;23;1995;25.0;1.72;0.08;0.08;0.20;0.00;1.35;0.32;-0.37;-0.37;6.64;15.5;42.8;26.2;5.04;36.2;33.7;8.52;70.9;51.4;13.0;0.52;4.0;1.80;1.80;18.6;Matches;8fa8f8d2
3;Alisson;br BRA;GK;Liverpool;eng Premier League;25;1992;38.0;0.58;0.00;0.00;0.13;0.00;0.72;0.29;0.14;+0.14;3.39;8.18;41.5;28.2;5.58;20.1;28.8;5.68;44.0;41.3;10.1;0.42;4.2;1.55;1.55;16.6;Matches;7a2e46a8
4;Bobby Allain;fr FRA;GK;Dijon;fr Ligue 1;26;1991;13.0;1.31;0.08;0.00;0.15;0.08;1.31;0.23;0.08;+0.08;10.2;21.8;46.6;25.6;5.23;54.4;41.0;9.62;81.6;53.9;17.7;1.62;9.1;1.38;1.38;13.1;Matches;8870154f
5;Sergio Álvarez;es ESP;GK;Celta Vigo;es La Liga;31;1986;13.0;1.69;0.15;0.08;0.15;0.08;1.47;0.30;-0.15;-0.15;7.00;18.2;38.4;25.4;3.62;43.9;36.5;9.85;71.9;52.1;17.7;0.62;3.5;0.54;0.54;12.9;Matches;8875b8c9
6;Miguel Ángel Moyá;es ESP;GK;Real Sociedad;es La Liga;34;1984;11.0;1.00;0.00;0.00;0.09;0.00;0.93;0.31;-0.07;-0.08;5.73;11.5;50.0;25.8;3.18;28.2;31.5;7.00;59.7;43.2;14.5;0.45;3.1;1.91;1.91;17.8;Matches;011d8c56
7;Alphonse Areola;fr FRA;GK;Paris S-G;fr Ligue 1;25;1993;21.0;0.81;0.19;0.00;0.05;0.05;0.87;0.22;0.11;+0.11;1.90;4.48;42.6;18.0;4.76;15.9;25.3;6.62;24.5;32.0;12.1;0.33;2.7;0.62;0.62;13.7;Matches;2f965a72
8;Kepa Arrizabalaga;es ESP;GK;Chelsea;eng Premier League;23;1994;36.0;1.08;0.03;0.00;0.17;0.00;1.01;0.29;-0.07;-0.07;3.17;6.39;49.6;25.1;4.33;15.7;25.9;7.11;34.4;36.5;10.3;0.39;3.8;0.97;0.97;18.1;Matches;28d596a0
